                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8666,                 2.9026,                 1.9894,                0.92459,                0.09982,                0.14252,                0.08944,                 2.0012,                 3.6705,                  2.205,               0.070017,              0.0033314,              0.0033314
                      2,                 1.9146,                 2.9829,                 2.0351,                0.20138,                0.20967,                0.17259,                0.10109,                 2.0162,                 3.4633,                 2.1179,               0.039357,               0.006005,               0.006005
                      3,                 1.9202,                 2.9967,                 2.0266,                 0.3769,                0.22312,                0.18486,                0.11096,                 2.0232,                 3.2944,                  2.094,              0.0080375,              0.0080185,              0.0080185
                      4,                 1.9014,                 2.9619,                 2.0135,                0.28631,                 0.2604,                0.22058,                0.14392,                 1.9348,                 2.9915,                 2.0396,                0.00703,                0.00703,                0.00703
                      5,                 1.8639,                 2.8953,                 1.9959,                0.20689,                0.27373,                0.22064,                0.14704,                  1.927,                 2.9078,                 2.0108,                0.00604,                0.00604,                0.00604
                      6,                 1.8312,                 2.8535,                 1.9511,                0.43067,                0.21109,                0.22535,                0.15052,                 1.8907,                 2.8737,                 1.9975,                0.00505,                0.00505,                0.00505
                      7,                 1.7909,                 2.7747,                 1.9275,                  0.297,                0.28559,                0.24163,                 0.1627,                 1.8722,                 2.7455,                 1.9479,                0.00406,                0.00406,                0.00406
                      8,                 1.7601,                 2.6985,                 1.8918,                0.27626,                0.29329,                0.25409,                0.17143,                  1.855,                 2.7184,                  1.919,                0.00307,                0.00307,                0.00307
                      9,                 1.7317,                 2.6451,                 1.8609,                0.31649,                0.27248,                0.26198,                0.18359,                 1.8158,                 2.6566,                 1.8864,                0.00208,                0.00208,                0.00208
                     10,                 1.6988,                 2.5656,                 1.8313,                0.30607,                0.30874,                0.27863,                0.19568,                 1.7942,                 2.5935,                 1.8854,                0.00109,                0.00109,                0.00109
